origin,destination,length
Lyon-Perrache-Gare-Rout,Vienne-Gare-Routière,53
Bourg-en-Bresse Gare R,Ambérieu-en-Bugey,40
Argentine,St-Pierre-d'Albigny,28
St-Priest,St-Pierre-de-Chandieu-R,21
Villefranche-sur-Saône,Lyon-Perrache-Gare-Rout,60
La Tour-du-Pin,Rives,55
Moûtiers-Salins-Brides,St-Pierre-d'Albigny,50
Albertville,Moûtiers-Salins-Brides,45
Aix-les-Bains-le-Revard,Chambéry-Chal.-les-Eaux,30
Bourg-St-Maurice,Moûtiers-Salins-Brides,37
Chambéry-Chal.-les-Eaux,Modane,113
Chambéry-Chal.-les-Eaux,Epierre-St-Léger,82
Aix-les-Bains-le-Revard,Modane,157
Chambéry-Chal.-les-Eaux,Culoz,65
Feurs,Saint-Etienne-Chtx GR,60
Albens,Annecy,45
Annecy,Rumilly,25
Sérézin,Ternay-Barbières,13
Communay-Stade,Sérézin,15
Epierre-St-Léger,Montmélian,52
Epierre-St-Léger,St-Pierre-d'Albigny,36
St-Jean-de-Maurienne-A.,St-Pierre-d'Albigny,70
Aiton-Salle-Polyvalente,St-Jean-de-Maurienne-A.,58
Chinon,Tours,82
Chinon-Lycée-Rabelais,Tours,75
Tours,St Christophe / Nais C.,60
Château-du-Loir,Tours,75
Droué (Centre),Courtalain-St-Pellerin,10
Courtalain-Centre,Droué (Centre),10
Chartres-Gare-Routière,Brou,55
Droué (Centre),Brou,36
Brou,Chartres,50
Droué (Centre),Chartres,92
Vendôme,Mondoubleau-Rue-Leroy,60
Aubigny-sur-Nere-Mail,Gien,44
Gien,Montargis-OT,49
Cosne-sur-Loire,Sancerre-Porte-Cesar,27
Bourges-Gare-Routière,St-Amand-Montrond-Orval,76
Bourges,St-Amand-Montrond-Orval,65
Châteauroux Gare Rout.,Bourges,106
Bourges,Issoudun-Place-de-la-G.,71
Châteauroux Gare Rout.,Issoudun-Jardin,40
Vierzon,Issoudun-Place-de-la-G.,50
Issoudun,Vierzon,56
Châteauroux Gare Rout.,Poitiers-Gare-Routière,135
Le-Blanc-Pl-du-Bateau,Poitiers-Gare-Routière,68
Nouan-le-Fuzelier,Romorantin-BA-G.R.,55
Chaumont-sur-Tharonne,Romorantin-BA-G.R.,31
Lamotte-Beuvron,Romorantin-BA-G.R.,40
Lamotte-Beuvron,Romorantin-Lycée-de-F,35
Châteauroux-Ly-B-Pascal,Eguzon,60
Châteauroux Gare Rout.,Argenton-sur-Creuse,45
Châteauroux-Ly-B-Pascal,Argenton-sur-Creuse,60
Châteauroux-Lycée-Agric,Argenton-sur-Creuse,55
Châteauroux Gare Rout.,Eguzon,80
Châteauroux Gare Rout.,Issoudun-Place-de-la-G.,36
Thesee,Romorantin-BA-G.R.,60
Romorantin-BA-G.R.,St-Aignan-Lep,55
Romorantin-BA-G.R.,St-Aignan-Pl-Wilson,53
Loches,Tours,58
Buzançais,Châteauroux Gare Rout.,30
Châteauroux Gare Rout.,Tours,150
Chatillon-Mail,Châteauroux-Charmilles,100
Clion-sur-Indre,Loches,40
Chatillon-Mail,Châteauroux Gare Rout.,90
Châteauroux Gare Rout.,Loches,101
Cormery,La Douzillère,47
Loches,Montbazon,65
Chambourg-Chopin,Cormery,25
Loches-Lycee-St-Denis,Truyes-St-Blaise,40
Cormery,Loches,29
Loches,TOURS LYCEE GRANDMONT,55
Esvres,Loches,45
Tours,Reignac-Bourg-Du-Fau,74
Loches,Truyes-Pl-Du-Souvenir,40
La Douzillère,Veigné,15
Loches-LEP,Truyes-Pl-Du-Souvenir,25
Tours,Loches-LEP,80
Cormery,Tours,43
Buzançais,Châteauroux-Ly-B-Pascal,59
Esvres,La Douzillère,20
